    Shade House No.1                                                                                                                                                                            Shade House N                                                                                                                                   
       Leptadinia   Pennisetum divPennisetum setPennisetum rubLasiurus hirsuZizyphus nummPanicum turgiduCalotropis prAerva javanic               Outside 1                                        Outside 2                                                                                                                                     
          150           14,800        1,990         1,850         3,000          328          1,228      =3645+1400      3,220                 =SUM(B34:J34)              =SUM(N21:N3=SUM(O21:O3                                                                                                                                                
    Cenchrus ciliari                            Rosa x FairhopRosa x Graham Rosa x MarmalRosa x Brass BaRosa x Mister                          Polyethiline 1                                   Suaeda vermicSuaeda vermicSuaeda vermicAerva javanicAerva javanicAerva javanicAerva javanicAerva javanicAerva javanicAerva javanica             
        =430*16                                       80            50           30            30            100                               =SUM(B36:I36)                         =SUM(P36:AA     200          700          700          300          400          500          500          500          700          700                   
    Cymbopogon citraLasiurus hirsuLeucophyllum fLeucophyllum f  Lemon Bell                                                                                                                      Calotropis prAerva javanicAerva javanicAerva javanicAerva javanicAerva javanicAerva javanicAerva javanicZygophyllum qAerva javanicaCymbopogon coCymbopogon co
          500           =500*7        =500*2        =430*9         100                                                                         =SUM(B38:K38)                         =SUM(P38:AA    1,700        1,000        1,000        1,000        1,000        1,000        1,000        1,500         800          500          6,200        6,200    
    Cymbopogon commuCymbopogon comCymbopogon com                                                                                               Polyethiline2                                    Calotropis prAerva javanicAerva javanicAerva javanicAerva javanicAerva javanicAerva javanicAerva javanicZygophyllum q              Cymbopogon coCymbopogon co
        =400*22        =500*11        =400*4                                                                                                   =SUM(B40:K40)                         =SUM(P40:AA    1,800         600          600          500          500          500          500          500          700                       1,700        1,700    
                                                                                                                                                             =O34+N34+O17+           =SUM(O36:O4                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                             =SUM(C53:L73)                                                                                                                                                                      
                                                                                                                                                               =M41-M50                                                                                                                                                                         
                                                                                                                                                                                                                                                                                                                                                
    Aerva javanica  =SUMIF(B3:AA49              Calotropis pro=SUMIF(B3:AA49             Mentha spicata =SUMIF(B3:AA4             Sporobolus ar=SUMIF(B3:AA49                                                                                                                                                                                   
    Aeluropus lagopo=SUMIF(B3:AA49              Dalea frutesce=SUMIF(B3:AA49             Mentha longifol=SUMIF(B3:AA4             Silene villos=SUMIF(B3:AA49                                                                                                                                                                                   
     Acacia saligna =SUMIF(B3:AA49              Euphorbia bigl=SUMIF(B3:AA49             Myrtus communis=SUMIF(B3:AA4             Stipagrostis =SUMIF(B3:AA49                                                                                                                                                                                   
    Allamanda cathar=SUMIF(B3:AA49              Euphorbia myrs=SUMIF(B3:AA49             Ochradenus bacc=SUMIF(B3:AA4             Suaeda vermic=SUMIF(B3:AA44                                                                                                                                                                                   
    Ambrosia deltoid=SUMIF(B3:AA49              Echinacea purp=SUMIF(B3:AA49             Panicum turgidu=SUMIF(B3:AA4             Salvia farina=SUMIF(B3:AA49                                                                                                                                                                                   
    Ambrosia dumosa =SUMIF(B3:AA49              edraianthus Gr=SUMIF(B3:AA49             Pennisetum divi=SUMIF(B3:AA4             Salvia aegypt=SUMIF(B3:AA49                                                                                                                                                                                   
    Atriplex canesce=SUMIF(B3:AA49              Hammada elegan=SUMIF(B3:AA49             Pennisetum seta=SUMIF(B3:AA4             Salvia offici=SUMIF(B3:AA49                                                                                                                                                                                   
    Artemisia dracun=SUMIF(B3:AA49              Heliotropium c=SUMIF(B3:AA49             Pennisetum rubr=SUMIF(B3:AA4             Teucrium poli=SUMIF(B3:AA49                                                                                                                                                                                   
    Artemisia absint=SUMIF(B3:AA49              Helianthemum l=SUMIF(B3:AA49             Pedilanthus mac=SUMIF(B3:AA4             Thymus vulgar=SUMIF(B3:AA49                                                                                                                                                                                   
    Acacia farnesian=SUMIF(B3:AA49              Hemerocallis s=SUMIF(B3:AA49             Penstemon eaton=SUMIF(B3:AA4             Tavernica spa=SUMIF(B3:AA49                                                                                                                                                                                   
    Baileya multirad=SUMIF(B3:AA49              Indigofera int=SUMIF(B3:AA49             Prosopis julifl=SUMIF(B3:AA4             Tamarix aphyl=SUMIF(B3:AA49                                                                                                                                                                                   
    Blepharis ciliar=SUMIF(B3:AA49              Justicia calif=SUMIF(B3:AA49             Pulicaria undul=SUMIF(B3:AA4             Tribulus terr=SUMIF(B3:AA49                                                                                                                                                                                   
    Buchloe dactyloi=SUMIF(B3:AA49              Lasiurus hirsu=SUMIF(B3:AA49             Ruellia peninsu=SUMIF(B3:AA4             Wedelia trilo=SUMIF(B3:AA49                                                                                                                                                                                   
    Campsis radicans=SUMIF(B3:AA49              Leucophyllum f=SUMIF(B3:AA49             Ruellia Britoni=SUMIF(B3:AA4             Zygophyllum q=SUMIF(B3:AA47                                                                                                                                                                                   
    Capparis spinosa=SUMIF(B3:AA49                Leptadinia  =SUMIF(B3:AA49             Ruellia deserti=SUMIF(B3:AA4             Zilla spinosa=SUMIF(B3:AA49                                                                                                                                                                                   
    Chrysopogon auch=SUMIF(B3:AA49              Limonium axill=SUMIF(B3:AA49             Rosa x Fairhope=SUMIF(B3:AA4             Zoysia tenuif=SUMIF(B3:AA49                                                                                                                                                                                   
    Chloris virgata =SUMIF(B3:AA49              Lavandula offi=SUMIF(B3:AA49             Rosa x Graham T=SUMIF(B3:AA4             Zizyphus spin=SUMIF(B3:AA49                                                                                                                                                                                   
    Cymbopogon commu=SUMIF(B3:AA49              Lavandula dent=SUMIF(B3:AA49             Rosa x Marmalad=SUMIF(B3:AA4             Zizyphus numm=SUMIF(B3:AA49                                                                                                                                                                                   
    Cymbopogon citra=SUMIF(B3:AA49              Macfadyena ung=SUMIF(B3:AA49             Rosa x Brass Ba=SUMIF(B3:AA4             Trigonella st=SUMIF(B3:AA49                                                                                                                                                                                   
    Cenchrus ciliari=SUMIF(B3:AA49              Muhlenbergia c=SUMIF(B3:AA49             Rosa x Mister L=SUMIF(B3:AA4             Hemerocallis =SUMIF(B3:AA49                                                                                                                                                                                   
    Cyprus congloram=SUMIF(B3:AA49              Muhlenbergia r=SUMIF(B3:AA49             Santolina chama=SUMIF(B3:AA4              Lemon Bell  =SUMIF(B3:AA49                                                                                                                                                                                   
